# Index Terms for T2058 付法藏因緣傳
# Format: TERM | CHINESE

# === THE 23 PATRIARCHS ===
Mahākāśyapa | 摩訶迦葉
East India | 東方國
Bhṛgu city | 婆翅城

# === DOCTRINAL TERMS ===
Dharma treasury | 法藏
Dharma eye | 法眼
arhat | 阿羅漢
bodhisattva | 菩薩
nirvāṇa | 涅槃
parinirvāṇa | 般涅槃
enlightenment | 正覺
bodhi | 菩提
impermanence | 無常
no-self | 無我
emptiness | 空
suffering | 苦
Four Noble Truths | 四聖諦
Eightfold Path | 八正道
five aggregates | 五陰
three poisons | 三毒
Three Treasures | 三寶
twelve links of dependent origination | 十二因緣
karma | 業
saṃsāra (cycle of birth and death) | 生死
stream-enterer | 須陀洹
once-returner | 斯陀含
non-returner | 阿那含
arhat (fruit) | 阿羅漢果
Vinaya | 毘尼
Abhidharma | 阿毘曇
sūtra | 修多羅
Tripiṭaka | 三藏
skillful means | 方便
six supernormal powers | 六通
three knowledges | 三明
eight liberations | 八解脫
eighteen transformations | 十八變
samādhi | 三昧
dhāraṇī | 陀羅尼
turning the wheel of the Dharma | 轉法輪
Mahāyāna | 摩訶衍
Mahāyāna | 大乘
Hīnayāna | 小乘
pratyekabuddha | 辟支佛
defilements (kleśa) | 煩惱
merit (puṇya) | 功德
roots of merit | 善根
thirty-two marks | 三十二相
eighty minor marks | 八十種好
precepts (śīla) | 戒
mindfulness | 繫念
four meditations (dhyāna) | 四禪
worldly meditation | 世俗定
compassion | 大悲
loving-kindness (maitrī) | 慈
giving (dāna) | 施
morality discourse | 戒論
discourse on heavenly rebirth | 生天之論
renunciation | 出要
impurity of desire | 欲為不淨
kalpa | 劫
asaṃkhyeya kalpa | 阿僧祇劫
nayuta | 那由他
ten unwholesome deeds | 十不善
three evil destinies | 三惡道
five desires | 五欲
first truth: suffering | 苦聖諦
noble truth of cessation | 滅諦
two truths | 二諦
conventional truth | 世諦
ultimate truth | 第一義諦

# === OBJECTS AND PRACTICES ===
relics | 舍利
stūpa | 塔
cremation | 闍毘
cremation | 耶旬
begging bowl | 鉢
patchwork robe | 糞掃衣
saṅghāṭī robe | 僧伽梨
śāṇa cloth | 商那衣
wish-fulfilling jewel | 如意珠
golden plow | 金犁
skull | 髑髏

# === EVENTS ===
First Council | 集法藏
defeat of Māra | 破魔
first turning of the Dharma wheel | 初轉法輪
nativity of the Buddha | 降神母胎
Buddha's descent from Tuṣita | 從兜率天
seven steps at birth | 四方各行滿足七步
Indra receives the newborn | 帝釋奉接
Asita's prophecy | 阿私陀仙抱持占相
six years of austerities | 六年苦行
washing in the Nairañjanā | 河中洗浴
offering of milk-rice | 煮用作糜
Aśoka's eighty-four thousand stūpas | 八萬四千寶塔
Aśoka's pilgrimage to sacred sites | 佛所遊方
great pañcavārṣika assembly | 般遮于瑟
Mahākāśyapa awaiting Maitreya | 待於彌勒
Ānanda's division of relics | 分身為四
Upagupta subdues Māra | 降伏魔
Māra manifests the Buddha's form | 變形如佛
Aśvaghoṣa's musical composition | 賴吒啝羅
Nāgārjuna visits the Nāga palace | 接入大海
Āryadeva removes the eye from the idol | 鑿出其目
Āryadeva's assassination | 執刀窮之
Siṃha's martyrdom | 用斬師子

# === TEXT TITLES ===
Accounts of the Transmission of the Dharma Treasury | 付法藏因緣傳
five hundred jātaka tales | 五百本生緣
Madhyamaka-śāstra (Middle Treatise) | 中論
Fearless Treatise | 無畏論
Upadeśa (Commentary) | 優波提舍
Śataśāstra (Hundred Verses Treatise) | 百論
Nirātman-śāstra (No-Self Treatise) | 無我論
Verses on Dharma | 法句偈
four Vedas | 四韋陀
Vīra's No-Self Treatise | 毘羅無我之論
Ghost Name Book | 鬼名書
